OrderID,FinalProductPN,Quantity,Deadline,Type,SplitDelivery,SplitPeriod,Revenue,CustomerPriority
0,6298-1200-4404,119.0,1,S,1,0,1,1
1,6045-1904-6300,1.0,1,S,1,0,1,1
2,6649-1300-2410,5.0,1,S,1,0,1,1
3,6782-1401-0103,72.0,1,S,1,0,1,1
5,6298-1400-7005,248.0,1,S,1,0,1,1
6,6298-1300-3904,584.0,1,S,1,0,1,1
7,6782-1902-7107,54.0,1,S,1,0,1,1
8,6782-1902-7207,159.0,1,S,1,0,1,1
9,6880-1900-0105,75.0,1,S,1,0,1,1
10,6782-1902-7207,306.0,2,S,1,0,1,1
11,6298-1200-4404,120.0,2,S,1,0,1,1
12,6966-1700-0006,180.0,2,S,1,0,1,1
13,6932-1701-7400,100.0,2,S,1,0,1,1
14,6661-1100-2509,30.0,2,S,1,0,1,1
15,6782-1401-0103,384.0,2,S,1,0,1,1
16,6782-1401-0002,179.0,2,S,1,0,1,1
17,6799-1300-0025,192.0,2,S,1,0,1,1
18,6880-1900-0203,20.0,2,S,1,0,1,1
20,6410-1800-1502,200.0,3,S,1,0,1,1
21,6782-1401-0002,1000.0,3,S,1,0,1,1
22,6782-1401-0103,1000.0,3,S,1,0,1,1
24,6782-1902-7207,1000.0,3,S,1,0,1,1
25,6774-1200-6301,20.0,3,S,1,0,1,1
27,6410-1100-2006,60.0,3,S,1,0,1,1
28,6932-1902-8802,310.0,3,S,1,0,1,1
29,6774-1301-0500,50.0,3,S,1,0,1,1
30,6808-1800-3102,200.0,3,S,1,0,1,1
31,6649-1800-3701,148.0,3,S,1,0,1,1
32,6047-1800-0003,111.0,3,S,1,0,1,1
33,6774-1300-0301,100.0,3,S,1,0,1,1
34,6050-1700-0303,30.0,3,S,1,0,1,1
35,6298-1200-4404,80.0,3,S,1,0,1,1
36,6774-1200-0006,100.0,3,S,1,0,1,1
37,6023-1702-2904,500.0,3,S,1,0,1,1
38,6736-1400-1814,200.0,3,S,1,0,1,1
39,6736-1601-6909,136.0,3,S,1,0,1,1
40,6736-1900-0304,96.0,3,S,1,0,1,1
41,6410-1502-3303,11.0,3,S,1,0,1,1
42,6410-1100-2006,60.0,3,S,1,0,1,1
43,6337-1000-0012,1069.0,3,S,1,0,1,1
44,6410-1100-1905,30.0,3,S,1,0,1,1
45,6050-1700-0008,674.0,3,S,1,0,1,1
46,6045-2000-3901,103.0,4,S,1,0,1,1
47,6602-0800-0005,5019.0,4,S,1,0,1,1
48,6298-1700-5902,600.0,4,S,1,0,1,1
49,6782-1401-0002,96.0,5,S,1,0,1,1
50,6298-1200-2808,57.0,5,S,1,0,1,1
51,6782-1902-7207,96.0,5,S,1,0,1,1
53,6782-1401-0103,96.0,5,S,1,0,1,1
54,6298-1700-5902,240.0,6,S,1,0,1,1
55,6318-1700-2607,384.0,6,S,1,0,1,1
56,6318-1500-4006,293.0,6,S,1,0,1,1
57,6649-1800-3701,144.0,7,S,1,0,1,1
58,6736-1506-8708,240.0,7,S,1,0,1,1
59,6298-1200-2808,300.0,7,S,1,0,1,1
60,6932-1904-4900,100.0,7,S,1,0,1,1
61,6736-1400-1814,200.0,7,S,1,0,1,1
62,6410-1100-1905,60.0,8,S,1,0,1,1
63,6782-1902-7207,300.0,8,S,1,0,1,1
64,6298-1700-5902,480.0,8,S,1,0,1,1
66,6410-1100-2006,80.0,8,S,1,0,1,1
67,6774-1300-8704,50.0,8,S,1,0,1,1
68,6782-1401-0103,300.0,8,S,1,0,1,1
69,6410-1900-1603,40.0,8,S,1,0,1,1
70,6932-1902-9203,100.0,8,S,1,0,1,1
71,6782-1401-0002,300.0,8,S,1,0,1,1
72,6410-1600-1005,40.0,8,S,1,0,1,1
73,6649-1200-5207,6.0,8,S,1,0,1,1
74,6410-1600-1100,60.0,8,S,1,0,1,1
75,6337-1400-0622,840.0,8,S,1,0,1,1
76,6410-1800-1502,200.0,8,S,1,0,1,1
77,6649-1200-5207,13.0,8,S,1,0,1,1
78,6808-1800-4902,200.0,8,S,1,0,1,1
80,6337-1300-2501,940.0,8,S,1,0,1,1
81,6649-1200-5306,1.0,8,S,1,0,1,1
82,6934-1802-8104,30.0,9,S,1,0,1,1
83,6649-1800-2802,100.0,9,S,1,0,1,1
84,6649-2000-2803,25.0,9,S,1,0,1,1
85,6774-1200-5105,50.0,9,S,1,0,1,1
87,6808-1800-4902,200.0,10,S,1,0,1,1
88,6782-1902-7207,96.0,10,S,1,0,1,1
89,6782-1401-0002,96.0,10,S,1,0,1,1
90,6782-1401-0103,96.0,10,S,1,0,1,1
92,6808-1800-4902,200.0,10,S,1,0,1,1
93,6808-1800-3102,200.0,11,S,1,0,1,1
94,6649-1800-4503,100.0,11,S,1,0,1,1
95,6602-1300-1003,2204.0,11,S,1,0,1,1
96,6966-1700-0006,154.0,11,S,1,0,1,1
97,6298-1100-0611,986.0,11,S,1,0,1,1
98,6649-1300-2410,10.0,12,S,1,0,1,1
99,6799-1600-7503,30.0,12,S,1,0,1,1
100,6649-1700-4604,146.0,12,S,1,0,1,1
101,6932-1701-7400,100.0,12,S,1,0,1,1
102,6649-1300-2410,5.0,12,S,1,0,1,1
103,6015-1800-2403,2.0,12,S,1,0,1,1
104,6337-1600-2217,56.0,12,S,1,0,1,1
105,6649-1700-4604,50.0,12,S,1,0,1,1
106,6410-1602-0904,50.0,13,S,1,0,1,1
107,6410-0900-1301,100.0,13,S,1,0,1,1
108,6649-1800-3701,250.0,13,S,1,0,1,1
109,6649-1200-5207,5.0,13,S,1,0,1,1
110,6808-1800-3102,200.0,13,S,1,0,1,1
111,6761-1200-5703,699.0,13,S,1,0,1,1
112,6649-1800-3401,250.0,13,S,1,0,1,1
113,6047-1800-7903,180.0,13,S,1,0,1,1
114,6661-1101-2203,1213.0,13,S,1,0,1,1
115,6410-1900-1603,40.0,13,S,1,0,1,1
116,6410-1800-1502,200.0,13,S,1,0,1,1
117,6410-1600-2803,50.0,13,S,1,0,1,1
118,6337-1200-8505,571.0,13,S,1,0,1,1
120,6410-1100-1905,60.0,13,S,1,0,1,1
121,6047-1800-0603,405.0,13,S,1,0,1,1
122,6047-1800-0003,1485.0,13,S,1,0,1,1
123,6808-1501-0104,100.0,13,S,1,0,1,1
124,6736-1400-1907,120.0,13,S,1,0,1,1
125,6736-1601-6909,192.0,13,S,1,0,1,1
126,6047-1800-7903,500.0,13,S,1,0,1,1
127,6142-1100-2008,2000.0,13,S,1,0,1,1
128,6661-1100-2804,881.0,13,S,1,0,1,1
129,6782-1401-0103,128.0,14,S,1,0,1,1
130,6782-1401-0002,192.0,14,S,1,0,1,1
131,6298-1100-0611,1080.0,14,S,1,0,1,1
132,6782-1902-7107,128.0,14,S,1,0,1,1
133,6782-1401-0103,192.0,14,S,1,0,1,1
134,6649-1300-2410,44.0,14,S,1,0,1,1
135,6782-1401-0002,128.0,14,S,1,0,1,1
136,6782-1902-7207,192.0,14,S,1,0,1,1
138,6736-1400-1814,200.0,15,S,1,0,1,1
139,6799-1600-7503,30.0,15,S,1,0,1,1
140,6142-1100-2008,500.0,16,S,1,0,1,1
141,6318-1200-4602,171.0,16,S,1,0,1,1
142,6782-1401-0002,96.0,16,S,1,0,1,1
143,6298-1200-4404,160.0,16,S,1,0,1,1
144,6782-1401-0103,96.0,16,S,1,0,1,1
145,6782-1902-7107,96.0,16,S,1,0,1,1
146,6649-1000-0213,4781.0,17,S,1,0,1,1
147,6736-1900-0304,96.0,17,S,1,0,1,1
148,6649-1800-2802,25.0,17,S,1,0,1,1
149,6736-1601-6909,384.0,17,S,1,0,1,1
150,6649-1800-3801,200.0,17,S,1,0,1,1
151,6736-1503-9317,60.0,17,S,1,0,1,1
152,6808-1800-3102,200.0,17,S,1,0,1,1
153,6649-1800-3401,100.0,17,S,1,0,1,1
154,6298-1200-4404,120.0,17,S,1,0,1,1
155,6649-1800-3701,200.0,17,S,1,0,1,1
156,6649-1200-5207,10.0,17,S,1,0,1,1
158,6808-1501-0104,100.0,18,S,1,0,1,1
159,6602-1300-1003,2880.0,18,S,1,0,1,1
160,6932-1902-7102,500.0,18,S,1,0,1,1
161,6298-1100-0611,1080.0,18,S,1,0,1,1
162,6047-1800-7903,192.0,18,S,1,0,1,1
163,6050-1900-2401,443.0,18,S,1,0,1,1
164,6880-1903-5503,45.0,18,S,1,0,1,1
165,6023-1701-0007,400.0,18,S,1,0,1,1
166,6023-1702-0404,200.0,18,S,1,0,1,1
167,6782-1401-0103,100.0,19,S,1,0,1,1
168,6934-1802-8104,30.0,19,S,1,0,1,1
169,6782-1401-0002,100.0,19,S,1,0,1,1
171,6774-1300-8704,50.0,19,S,1,0,1,1
172,6661-1300-3506,266.0,20,S,1,0,1,1
173,6782-1902-7107,96.0,20,S,1,0,1,1
174,6782-1401-0103,383.0,20,S,1,0,1,1
175,6661-1000-0111,1511.0,20,S,1,0,1,1
176,6661-1300-3404,261.0,20,S,1,0,1,1
177,6782-1401-0002,96.0,20,S,1,0,1,1
178,6661-1000-0311,509.0,20,S,1,0,1,1
179,6782-1902-7107,383.0,20,S,1,0,1,1
180,6782-1401-0103,96.0,20,S,1,0,1,1
181,6661-1501-9701,68.0,20,S,1,0,1,1
182,6661-1502-3417,638.0,20,S,1,0,1,1
184,6661-1502-3417,331.0,20,S,1,0,1,1
185,6782-1401-0002,383.0,20,S,1,0,1,1
186,6808-1501-0104,100.0,21,S,1,0,1,1
187,6808-1800-3102,200.0,21,S,1,0,1,1
188,6047-1800-7903,180.0,21,S,1,0,1,1
189,6966-1700-0006,480.0,21,S,1,0,1,1
190,6142-1100-2008,1500.0,21,S,1,0,1,1
191,6318-1800-2804,599.0,21,S,1,0,1,1
192,6808-1501-0104,200.0,21,S,1,0,1,1
193,6298-1100-0611,1080.0,21,S,1,0,1,1
194,6318-1701-8407,54.0,21,S,1,0,1,1
195,6023-1701-0007,600.0,21,S,1,0,1,1
196,6880-1903-5503,50.0,21,S,1,0,1,1
197,6318-1701-8407,18.0,21,S,1,0,1,1
198,6736-1601-6909,96.0,21,S,1,0,1,1
199,6045-1903-5102,659.0,21,S,1,0,1,1
200,6736-1601-6909,288.0,21,S,1,0,1,1
201,6298-1100-0611,1080.0,21,S,1,0,1,1
202,6337-1600-2217,56.0,21,S,1,0,1,1
203,6337-1600-2217,56.0,21,S,1,0,1,1
204,6799-1600-7503,30.0,22,S,1,0,1,1
205,6410-1100-2006,80.0,22,S,1,0,1,1
206,6808-1800-3102,200.0,22,S,1,0,1,1
207,6649-1800-3701,200.0,22,S,1,0,1,1
208,6649-1000-0109,400.0,22,S,1,0,1,1
209,6649-1800-3401,200.0,22,S,1,0,1,1
210,6410-1600-1100,60.0,22,S,1,0,1,1
211,6932-1902-8202,99.0,22,S,1,0,1,1
213,6649-1300-2410,3.0,22,S,1,0,1,1
214,6932-1902-7501,500.0,22,S,1,0,1,1
215,6782-1902-7207,500.0,23,S,1,0,1,1
216,6774-1301-7900,30.0,23,S,1,0,1,1
217,6782-1401-0103,131.0,23,S,1,0,1,1
218,6782-1902-7107,108.0,23,S,1,0,1,1
219,6782-1401-0103,134.0,23,S,1,0,1,1
220,6782-1401-0103,391.0,23,S,1,0,1,1
221,6782-1902-7107,391.0,23,S,1,0,1,1
222,6782-1902-7107,134.0,23,S,1,0,1,1
223,6782-1902-7107,131.0,23,S,1,0,1,1
224,6880-1903-5503,55.0,23,S,1,0,1,1
225,6782-1401-0103,300.0,23,S,1,0,1,1
227,6782-1401-0002,108.0,23,S,1,0,1,1
228,6774-1400-0701,100.0,23,S,1,0,1,1
229,6782-1401-0002,500.0,23,S,1,0,1,1
230,6782-1401-0002,391.0,23,S,1,0,1,1
231,6782-1401-0002,134.0,23,S,1,0,1,1
232,6782-1401-0002,131.0,23,S,1,0,1,1
233,6050-1900-0003,500.0,23,S,1,0,1,1
234,6774-1200-0006,100.0,23,S,1,0,1,1
235,6782-1401-0103,108.0,23,S,1,0,1,1
236,6782-1902-7207,400.0,25,S,1,0,1,1
239,6782-1401-0103,226.0,25,S,1,0,1,1
240,6782-1401-0103,400.0,25,S,1,0,1,1
241,6782-1401-0002,226.0,25,S,1,0,1,1
242,6782-1401-0002,400.0,25,S,1,0,1,1
243,6298-1200-2808,300.0,25,S,1,0,1,1
244,6318-1701-8407,45.0,26,S,1,0,1,1
245,6298-1100-0611,1080.0,26,S,1,0,1,1
246,6047-1800-0003,810.0,26,S,1,0,1,1
247,6298-1200-2808,300.0,26,S,1,0,1,1
248,6602-1700-1201,5500.0,26,S,1,0,1,1
249,6045-1904-3601,27.0,26,S,1,0,1,1
251,6808-1800-3102,200.0,27,S,1,0,1,1
252,6932-1904-4900,100.0,27,S,1,0,1,1
253,6649-1000-0109,1200.0,27,S,1,0,1,1
255,6602-1700-1303,5048.0,28,S,1,0,1,1
256,6047-1800-0003,810.0,28,S,1,0,1,1
257,6808-1800-4902,200.0,28,S,1,0,1,1
259,6045-2000-3903,22.0,28,S,1,0,1,1
260,6814-2000-0001,300.0,28,S,1,0,1,1
261,6744-1600-1201,497.0,28,S,1,0,1,1
262,6744-1500-5404,500.0,28,S,1,0,1,1
263,6774-1200-5707,50.0,28,S,1,0,1,1
264,6318-1500-4007,42.0,28,S,1,0,1,1
265,6298-1200-2808,300.0,28,S,1,0,1,1
266,6602-0800-0005,5120.0,29,S,1,0,1,1
267,6774-1800-1800,25.0,29,S,1,0,1,1
268,6337-1000-0012,320.0,29,S,1,0,1,1
269,6774-1300-8704,50.0,29,S,1,0,1,1
270,6782-1401-0103,300.0,29,S,1,0,1,1
271,6782-1401-0002,96.0,29,S,1,0,1,1
272,6782-1401-0103,96.0,29,S,1,0,1,1
274,6934-1802-8104,30.0,29,S,1,0,1,1
275,6045-1903-5201,48.0,29,S,1,0,1,1
276,6782-1902-7107,96.0,29,S,1,0,1,1
277,6799-1300-0025,192.0,30,S,1,0,1,1
278,6808-1800-4902,200.0,30,S,1,0,1,1
279,6761-1200-5703,700.0,31,S,1,0,1,1
280,6649-1801-5604,120.0,31,S,1,0,1,1
281,6298-1701-5704,110.0,31,S,1,0,1,1
282,6298-1400-7005,1080.0,31,S,1,0,1,1
283,6744-1500-6603,500.0,31,S,1,0,1,1
284,6744-1500-6603,500.0,31,S,1,0,1,1
285,6649-2000-2404,500.0,32,S,1,0,1,1
287,6808-1800-3102,200.0,32,S,1,0,1,1
290,6808-1501-0104,100.0,32,S,1,0,1,1
292,6649-2000-2404,500.0,32,S,1,0,1,1
293,6782-1401-0002,672.0,32,S,1,0,1,1
294,6761-1903-6200,750.0,32,S,1,0,1,1
295,6782-1401-0103,264.0,32,S,1,0,1,1
296,6782-1401-0103,120.0,33,S,1,0,1,1
297,6782-1401-0103,300.0,33,S,1,0,1,1
299,6782-1401-0103,120.0,33,S,1,0,1,1
300,6782-1902-7107,96.0,33,S,1,0,1,1
301,6410-1100-6800,295.0,33,S,1,0,1,1
302,6782-1401-0103,96.0,33,S,1,0,1,1
303,6661-1101-2203,1260.0,33,S,1,0,1,1
304,6337-1600-2217,56.0,33,S,1,0,1,1
305,6744-1600-1304,494.0,33,S,1,0,1,1
306,6318-1700-2607,432.0,33,S,1,0,1,1
307,6761-1200-0112,2500.0,33,S,1,0,1,1
308,6782-1401-0002,96.0,33,S,1,0,1,1
309,6602-1300-1003,2880.0,33,S,1,0,1,1
310,6782-1401-0002,1000.0,34,S,1,0,1,1
311,6774-1200-0006,100.0,34,S,1,0,1,1
312,6782-1401-0103,1000.0,34,S,1,0,1,1
313,6799-1300-0025,192.0,34,S,1,0,1,1
314,6774-1200-5105,50.0,34,S,1,0,1,1
