PN,ProductGroup,WorkCenter,Predecessors,RawMaterial,OperationRoute,OperationRouteID,ProcessingTimes,SetupTimes,BatchInfo,ScrapRate
6001-0602-4800,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 0.833, 3.75, 2.433, 0.9]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6001-0602-4902,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 0.833, 3.75, 2.433, 0.9]","[10, 54, 10, 10, 10]",290-580-1160,0
6001-1212-4002,,MILL,[],-,MILL,20,[0],0,50-100-200,0.01
6001-1305-4900,,MILL,[],-,MILL,20,[0],0,50-100-200,0.01
6001-1305-5100,,SA,[],-,SA,21,[9.96],0,50-100-200,0.02
6001-1306-6402,,SA,[],-,SA,21,[9.96],0,50-100-200,0.02
6001-1313-4901,,SA,[],-,SA,21,[174.656],0,2-4.0-8.0,0.333333333
6001-1405-4501,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1410-3300,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1416-4302,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1424-4602,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1500-8800,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1512-0002,,SA,[],-,SA,21,[9.96],0,50-100-200,1
6001-1532-5600,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,72-144.0-288.0,0.197802198
6001-1532-5601,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,72-144.0-288.0,0.197802198
6001-1535-5800,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1600-7600,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.833, 3.75, 2.433, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6001-1615-0300,,MILL,[],-,MILL,20,[0],0,50-100-200,0.01
6001-1615-0400,,MILL,[],-,MILL,20,[0],0,50-100-200,0.01
6001-1629-9500,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.833, 3.75, 2.433, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6001-1633-9401,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[22.454],0,215-430-860,0
6001-1637-2500,,MILL,[],-,MILL,20,[0],0,50-100-200,0.01
6001-1637-2600,,MILL,[],-,MILL,20,[0],0,50-100-200,0.01
6001-1639-6800,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1639-7001,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1639-7302,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1642-5500,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-5601,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-5701,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-5800,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-5901,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-6001,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-6101,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-6201,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-6301,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1642-6401,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1710-5201,,MILL,[],-,MILL,20,[0],0,50-100-200,0.02
6001-1712-6000,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1712-6200,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1720-1400,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[9.033],0,215-430-860,0
6001-1720-1401,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[9.033],0,215-430-860,0
6001-1725-5700,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1725-5900,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1725-6000,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1863-0900,,SA,[],-,SA,21,[9.96],0,50-100-200,1
6001-1869-8404,IM_Semi-Automated,IM,[],22,IM_OP0,22,[0.476],240,85-170-340,0.009345794
6001-1869-8603,IM_Semi-Automated,IM,[],22,IM_OP0,22,[0.476],240,85-170-340,0.011441648
6001-1869-8803,IM_Semi-Automated,IM,[],22,IM_OP0,22,[0.476],240,85-170-340,0.003690037
6001-1872-5902,IM_Semi-Automated,IM,[],22,IM_OP0,22,[0.476],240,85-170-340,0.00270475
6001-1884-5701,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 1.483, 3.75, 2.433, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0
6001-1888-1501,IM_Semi-Automated,IM,[],22,IM_OP0,22,[0.476],240,85-170-340,0
6001-1888-8501,IM_Semi-Automated,IM,[],22,IM_OP0,22,[0.476],240,85-170-340,0
6001-1944-3900,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,215-430-860,0.02
6001-1959-1100,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1959-1200,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1959-1300,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1959-1400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1959-1500,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1959-1600,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1959-1700,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1959-1800,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1959-1900,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7100,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7200,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7300,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7500,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7600,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7700,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7800,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7900,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-8000,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2010-7700,,SA,[],-,SA,21,[9.96],0,50-100-200,0.02
6001-2010-7800,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-5400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-6300,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-6600,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-7400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-8000,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-8100,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-8200,,SA,[],-,SA,21,[9.96],0,50-100-200,0.02
6001-2016-8400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-8700,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2017-9900,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2018-0400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2018-0500,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6005-1600-0100,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 0.833, 3.75, 2.433, 0.6666666666666666]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6005-1600-0102,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 0.833, 3.75, 2.433, 0.6666666666666666]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6005-1600-0103,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 0.833, 3.75, 2.433, 0.6666666666666666]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6010-1600-0000,,SA,"[['6010-1600-0100', 1.0], ['6010-1600-0200', 1.0], ['6010-1600-0300', 1.0]]",-,SA,21,[9.96],0,50-100-200,0.02
6010-1600-0001,,SA,"[['6010-1600-0501', 1.0], ['6010-1700-0400', 1.0], ['6010-1700-0700', 1.0]]",-,SA,21,[9.96],0,50-100-200,0.02
6011-1600-1100,,PRD,"[['1202-0001-1104', 74.0]]",-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.45, 3.75, 1.881, 0.6666666666666666]","[10, 54, 10, 10, 10]",13-26.0-52.0,0.076923077
6011-1600-1101,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.45, 3.75, 1.881, 0.6666666666666666]","[10, 54, 10, 10, 10]",13-26.0-52.0,0.076923077
6011-1600-1102,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.45, 3.75, 1.881, 0.6666666666666666]","[10, 54, 10, 10, 10]",13-26.0-52.0,0.076923077
6011-1800-0700,,PRD,"[['1202-0001-1104', 5.0]]",-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.45, 3.75, 1.827, 0.9]","[10, 54, 10, 10, 10]",14-28.0-56.0,0.142857143
