PN,Date,StockLevel
1100-0001-0000,2021-03-01,947103.0
1100-0001-1000,2021-03-01,588930.0
1100-0001-1001,2021-03-01,2058465.0
1100-0001-1002,2021-03-01,4311973.0
1100-0001-1003,2021-03-01,1592149.0
1100-0001-1004,2021-03-01,328669.0
1100-0001-1005,2021-03-01,22606.0
1100-0001-1008,2021-03-01,52057.0
1100-0001-1009,2021-03-01,32647.0
1100-0001-1014,2021-03-01,91759.0
1100-0001-1101,2021-03-01,7899.0
1100-0001-1102,2021-03-01,20589.0
1100-0001-1103,2021-03-01,16265.0
1100-0001-1132,2021-03-01,9214.0
1100-0001-1143,2021-03-01,9375.0
1100-0001-1152,2021-03-01,8893.0
1100-0001-1200,2021-03-01,191594.0
1100-0001-1201,2021-03-01,86588.0
1100-0001-1202,2021-03-01,197303.0
1100-0001-1203,2021-03-01,61920.0
1100-0001-1204,2021-03-01,9605.0
1100-0001-1208,2021-03-01,22551.0
1100-0001-1210,2021-03-01,9869.0
1100-0001-1211,2021-03-01,9305.0
1100-0001-1212,2021-03-01,18986.0
1100-0001-1213,2021-03-01,9838.0
1100-0001-1221,2021-03-01,406.0
1100-0001-1241,2021-03-01,21753.0
1100-0001-1242,2021-03-01,27106.0
1100-0001-1244,2021-03-01,9706.0
1100-0001-1271,2021-03-01,10035.0
1100-0001-1300,2021-03-01,9946.0
1100-0001-1301,2021-03-01,9819.0
1100-0001-1302,2021-03-01,20353.0
1100-0001-1303,2021-03-01,29622.0
1100-0001-1330,2021-03-01,9356.0
1100-0001-1332,2021-03-01,9498.0
1100-0001-1402,2021-03-01,44405.0
1100-0001-1500,2021-03-01,9205.0
1100-0001-1501,2021-03-01,131474.0
1100-0001-1502,2021-03-01,142397.0
1100-0001-1503,2021-03-01,276120.0
1100-0001-1542,2021-03-01,9757.0
1100-0001-1601,2021-03-01,92833.0
1100-0001-1602,2021-03-01,7232.0
1100-0001-1603,2021-03-01,9584.0
1100-0001-1621,2021-03-01,9907.0
1100-0001-1622,2021-03-01,1203.0
1100-0001-1623,2021-03-01,9725.0
1100-0001-1653,2021-03-01,9522.0
1100-0001-1693,2021-03-01,45730.0
1100-0001-1800,2021-03-01,45165.0
1100-0001-1801,2021-03-01,93709.0
1100-0001-1802,2021-03-01,57302.0
1100-0001-1803,2021-03-01,42571.0
1100-0001-1821,2021-03-01,9282.0
1100-0001-1910,2021-03-01,7954.0
1100-0001-1961,2021-03-01,9928.0
1100-0001-1963,2021-03-01,150.0
1100-0001-2000,2021-03-01,115924.0
1100-0001-2001,2021-03-01,99562.0
1100-0001-2002,2021-03-01,33965.0
1100-0001-2003,2021-03-01,66753.0
1100-0001-2008,2021-03-01,9952.0
1100-0001-2009,2021-03-01,10224.0
1100-0001-2103,2021-03-01,19025.0
1100-0001-2151,2021-03-01,19460.0
1100-0001-2153,2021-03-01,9232.0
1100-0001-2200,2021-03-01,194189.0
1100-0001-2201,2021-03-01,418072.0
1100-0001-2202,2021-03-01,220252.0
1100-0001-2203,2021-03-01,82247.0
1100-0001-2204,2021-03-01,62126.0
1100-0001-2208,2021-03-01,18462.0
1100-0001-2209,2021-03-01,149342.0
1100-0001-2212,2021-03-01,9019.0
1100-0001-2218,2021-03-01,9923.0
1100-0001-2219,2021-03-01,11968.0
1100-0001-2372,2021-03-01,46885.0
1100-0001-2373,2021-03-01,8421.0
1100-0001-2400,2021-03-01,77319.0
1100-0001-2401,2021-03-01,3108.0
1100-0001-2402,2021-03-01,212857.0
1100-0001-2403,2021-03-01,31867.0
1100-0001-2431,2021-03-01,14167.0
1100-0001-2432,2021-03-01,9910.0
1100-0001-2482,2021-03-01,9766.0
1100-0001-2490,2021-03-01,9928.0
1100-0001-2491,2021-03-01,8107.0
1100-0001-2492,2021-03-01,9901.0
1100-0001-2672,2021-03-01,9443.0
1100-0001-2700,2021-03-01,26465.0
1100-0001-2701,2021-03-01,85988.0
1100-0001-2702,2021-03-01,159928.0
1100-0001-2703,2021-03-01,40557.0
1100-0001-2708,2021-03-01,19646.0
1100-0001-2741,2021-03-01,9902.0
1100-0001-3001,2021-03-01,6767.0
1100-0001-3002,2021-03-01,47916.0
1100-0001-3003,2021-03-01,23376.0
1100-0001-3012,2021-03-01,9454.0
1100-0001-3099,2021-03-01,10257.0
1100-0001-3240,2021-03-01,9846.0
1100-0001-3300,2021-03-01,103570.0
1100-0001-3301,2021-03-01,296602.0
1100-0001-3302,2021-03-01,445329.0
1100-0001-3303,2021-03-01,81590.0
1100-0001-3304,2021-03-01,19966.0
1100-0001-3308,2021-03-01,9490.0
1100-0001-3309,2021-03-01,51464.0
1100-0001-3320,2021-03-01,9901.0
1100-0001-3321,2021-03-01,8183.0
1100-0001-3402,2021-03-01,7477.0
1100-0001-3403,2021-03-01,10612.0
1100-0001-3413,2021-03-01,9865.0
1100-0001-3483,2021-03-01,7219.0
1100-0001-3582,2021-03-01,9739.0
1100-0001-3601,2021-03-01,8611.0
1100-0001-3602,2021-03-01,6285.0
1100-0001-3653,2021-03-01,33213.0
1100-0001-3742,2021-03-01,9278.0
1100-0001-3802,2021-03-01,17488.0
1100-0001-3900,2021-03-01,49727.0
1100-0001-3901,2021-03-01,99730.0
1100-0001-3902,2021-03-01,83164.0
1100-0001-3903,2021-03-01,30191.0
1100-0001-3909,2021-03-01,38547.0
1100-0001-3922,2021-03-01,8925.0
1100-0001-4022,2021-03-01,13764.0
1100-0001-4023,2021-03-01,9583.0
1100-0001-4220,2021-03-01,8173.0
1100-0001-4301,2021-03-01,20356.0
1100-0001-4302,2021-03-01,3235.0
1100-0001-4312,2021-03-01,8016.0
1100-0001-4323,2021-03-01,9616.0
1100-0001-4422,2021-03-01,9106.0
1100-0001-4641,2021-03-01,197.0
1100-0001-4700,2021-03-01,507298.0
1100-0001-4701,2021-03-01,817686.0
1100-0001-4702,2021-03-01,602711.0
1100-0001-4703,2021-03-01,123065.0
1100-0001-4704,2021-03-01,6953.0
1100-0001-4708,2021-03-01,12576.0
1100-0001-4709,2021-03-01,67646.0
1100-0001-4751,2021-03-01,23484.0
1100-0001-4752,2021-03-01,9911.0
1100-0001-4761,2021-03-01,9057.0
1100-0001-4990,2021-03-01,20898.0
1100-0001-4991,2021-03-01,7278.0
1100-0001-4992,2021-03-01,14922.0
1100-0001-4999,2021-03-01,50334.0
1100-0001-5100,2021-03-01,32447.0
1100-0001-5102,2021-03-01,46084.0
1100-0001-5111,2021-03-01,18970.0
1100-0001-5112,2021-03-01,8572.0
1100-0001-5232,2021-03-01,9766.0
1100-0001-5362,2021-03-01,81920.0
1100-0001-5600,2021-03-01,77991.0
1100-0001-5601,2021-03-01,106382.0
1100-0001-5602,2021-03-01,68521.0
1100-0001-5603,2021-03-01,38008.0
1100-0001-5623,2021-03-01,5848.0
1100-0001-5902,2021-03-01,9212.0
1100-0001-6008,2021-03-01,26323.0
1100-0001-6040,2021-03-01,9648.0
1100-0001-6041,2021-03-01,43193.0
1100-0001-6042,2021-03-01,77234.0
1100-0001-6191,2021-03-01,9987.0
1100-0001-6192,2021-03-01,9910.0
1100-0001-6201,2021-03-01,30951.0
1100-0001-6202,2021-03-01,43336.0
1100-0001-6203,2021-03-01,12388.0
1100-0001-6207,2021-03-01,14454.0
1100-0001-6490,2021-03-01,12600.0
1100-0001-6491,2021-03-01,31704.0
1100-0001-6492,2021-03-01,10000.0
