OperationType,WorkCenter,RouteID,RouteSeqOrder
LaserMarking,PRD,0,0
SMD,PRD,0,1
CA,PRD,0,2
Selective,PRD,0,3
Depanelize,PRD,0,4
LaserMarking,PRD,1,0
SMD,PRD,1,1
Depanelize,PRD,1,2
LaserMarking,PRD,2,0
SMD,PRD,2,1
CA,PRD,2,2
Selective,PRD,2,3
Kitting,PRD,2,4
Depanelize,PRD,2,5
LaserMarking,PRD,3,0
SMD,PRD,3,1
CA,PRD,3,2
Selective,PRD,3,3
CA_BOT,PRD,3,4
Selective_BOT,PRD,3,5
ICT,PRD,3,6
Kitting,PRD,3,7
Depanelize,PRD,3,8
LaserMarking,PRD,4,0
SMD,PRD,4,1
CA,PRD,4,2
Selective,PRD,4,3
CA_BOT,PRD,4,4
Selective_BOT,PRD,4,5
ICT,PRD,4,6
Kitting,PRD,4,7
Coating,PRD,4,8
Depanelize,PRD,4,9
LaserMarking,PRD,5,0
SMD,PRD,5,1
IPS,PRD,5,2
CA,PRD,5,3
Selective,PRD,5,4
CA_BOT,PRD,5,5
Selective_BOT,PRD,5,6
Kitting,PRD,5,7
Depanelize,PRD,5,8
LaserMarking,PRD,6,0
SMD,PRD,6,1
IPS,PRD,6,2
CA,PRD,6,3
Selective,PRD,6,4
Kitting,PRD,6,5
Coating,PRD,6,6
Depanelize,PRD,6,7
LaserMarking,PRD,7,0
SMD,PRD,7,1
CA,PRD,7,2
Selective,PRD,7,3
Coating,PRD,7,4
Depanelize,PRD,7,5
LaserMarking,PRD,8,0
SMD,PRD,8,1
CA,PRD,8,2
Selective,PRD,8,3
ICT,PRD,8,4
Depanelize,PRD,8,5
LaserMarking,PRD,9,0
SMD,PRD,9,1
ICT,PRD,9,2
Depanelize,PRD,9,3
LaserMarking,PRD,10,0
SMD,PRD,10,1
ICT,PRD,10,2
Coating,PRD,10,3
Depanelize,PRD,10,4
LaserMarking,PRD,11,0
SMD,PRD,11,1
CA,PRD,11,2
Selective,PRD,11,3
CA_BOT,PRD,11,4
Selective_BOT,PRD,11,5
Kitting,PRD,11,6
Depanelize,PRD,11,7
LaserMarking,PRD,12,0
SMD,PRD,12,1
IPS,PRD,12,2
Depanelize,PRD,12,3
LaserMarking,PRD,13,0
CA,PRD,13,1
Selective,PRD,13,2
Depanelize,PRD,13,3
LaserMarking,PRD,14,0
SMD,PRD,14,1
CA,PRD,14,2
Selective,PRD,14,3
CA_BOT,PRD,14,4
Selective_BOT,PRD,14,5
Depanelize,PRD,14,6
LaserMarking,PRD,15,0
SMD,PRD,15,1
CA,PRD,15,2
Selective,PRD,15,3
CA_BOT,PRD,15,4
Selective_BOT,PRD,15,5
ICT,PRD,15,6
Coating,PRD,15,7
Depanelize,PRD,15,8
LaserMarking,PRD,16,0
SMD,PRD,16,1
IPS,PRD,16,2
CA,PRD,16,3
Selective,PRD,16,4
Coating,PRD,16,5
Depanelize,PRD,16,6
LaserMarking,PRD,17,0
SMD,PRD,17,1
Coating,PRD,17,2
Depanelize,PRD,17,3
LaserMarking,PRD,18,0
SMD,PRD,18,1
CA,PRD,18,2
Selective,PRD,18,3
CA_BOT,PRD,18,4
Selective_BOT,PRD,18,5
Coating,PRD,18,6
Depanelize,PRD,18,7
CA,PRD,19,0
Selective,PRD,19,1
ICT,PRD,19,2
Depanelize,PRD,19,3
MILL,MILL,20,0
SA,SA,21,0
IM_OP0,IM,22,0
IM_OP1,IM,23,0
IM_OP2,IM,24,0
IM_OP3,IM,25,0
IM_OP4,IM,26,0
IM_OP5,IM,27,0
IM_OP6,IM,28,0
IM_OP7,IM,29,0
IM_OP8,IM,30,0
Phantom,Phantom,31,0
CLEAN,CLEAN,32,0
WIRE_AUTO,WIRE,34,0
WIRE_SEMI,WIRE,35,0
