JobID,OrderID,OrderDeadline,Selected Machine,WorkCenter,Alternative Machines,StartTime,CompTime,ProcessingTime,LatestStartTime,LatestCompTime,JobDeadline,Tardiness,StartTask,EndTask,StartJob,FinalJob
12,1023,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,6360,6600,240,6120.0,10680,6624.0,0,0,1,False,True
13,1023,5,Kitting_1,PRD,Kitting_1,5040,6120,480,5040.0,10200,6384.0,0,0,0,False,False
14,1023,5,ICT_2,PRD,ICT_1- ICT_2,3120,5040,1320,3120.0,7728,5904.0,0,0,0,False,False
15,1023,5,Selective_1,PRD,Selective_1- Selective_2- Selective_3,2880,3120,240,2880.0,7488,4584.0,0,0,0,False,False
16,1023,5,CA_3,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,2040,2160,120,2040.0,7368,4344.0,0,0,0,False,False
17,1023,5,Selective_3,PRD,Selective_1- Selective_2- Selective_3,1680,2040,360,1680.0,6432,4224.0,0,0,0,False,False
18,1023,5,CA_1,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1440,1680,240,1440.0,6192,3864.0,0,0,0,False,False
19,1023,5,SMD_1,PRD,SMD_1- SMD_2- SMD_3,240,840,600,240.0,5016,3624.0,0,0,0,False,False
20,1023,5,LaserMarking_1,PRD,LaserMarking_1- LaserMarking_2,0,240,240,0.0,4776,3024.0,0,1,0,True,False
21,282,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,7320,7560,240,7200.0,10680,6624.0,360,0,1,False,True
22,282,5,Kitting_1,PRD,Kitting_1,6120,7320,600,6000.0,10080,6384.0,360,0,0,False,False
23,282,5,ICT_1,PRD,ICT_1- ICT_2,3480,6120,1440,3360.0,7488,5784.0,360,0,0,False,False
24,282,5,Selective_1,PRD,Selective_1- Selective_2- Selective_3,3120,3480,360,3000.0,6552,4344.0,360,0,0,False,False
25,282,5,CA_8,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,3000,3120,120,2880.0,6432,3984.0,360,0,0,False,False
26,282,5,Selective_2,PRD,Selective_1- Selective_2- Selective_3,1920,3000,480,1680.0,5952,3864.0,360,0,0,False,False
27,282,5,CA_9,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1680,1920,240,1440.0,4992,3384.0,360,0,0,False,False
28,282,5,SMD_2,PRD,SMD_1- SMD_2- SMD_3,480,1680,600,240.0,4392,3144.0,360,0,0,False,False
29,282,5,LaserMarking_1,PRD,LaserMarking_1- LaserMarking_2,240,480,240,0.0,3576,2544.0,360,1,0,True,False
30,128,5,Depanelize_1,PRD,Depanelize_1- Depanelize_2,5880,6600,720,3120.0,10200,6624.0,0,0,1,False,True
31,128,5,Selective_3,PRD,Selective_1- Selective_2- Selective_3,3480,4920,840,1680.0,8784,5904.0,0,0,0,False,False
32,128,5,CA_6,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,3120,3360,240,1440.0,7824,5064.0,0,0,0,False,False
33,128,5,LaserMarking_2,PRD,LaserMarking_1- LaserMarking_2,1800,3120,720,0.0,6528,4824.0,0,1,0,True,False
51,118,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,6120,6240,120,1440.0,10800,6624.0,0,0,1,False,True
52,118,5,Selective_2,PRD,Selective_1- Selective_2- Selective_3,3000,3240,240,600.0,10560,6504.0,0,0,0,False,False
53,118,5,CA_5,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1560,1920,360,240.0,10200,6264.0,0,0,0,False,False
54,118,5,SMD_1,PRD,SMD_1- SMD_2- SMD_3,1440,1560,120,120.0,10080,5904.0,0,0,0,False,False
